220408-00:01:56 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:01:56 [INFO] -- PollAck: LockerDriver is up!
220408-00:01:56 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:02 [INFO] -- Poll: TimesUp 39127 0
220408-00:02:02 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:02 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:02 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:02 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:02 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:08 [INFO] -- Poll: TimesUp 48253 0
220408-00:02:08 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:08 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:08 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:08 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:08 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:14 [INFO] -- Poll: TimesUp 57627 0
220408-00:02:14 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:14 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:14 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:14 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:14 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:20 [INFO] -- Poll: TimesUp 92438 0
220408-00:02:20 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:20 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:20 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:20 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:20 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:26 [INFO] -- Poll: TimesUp 83275 0
220408-00:02:26 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:26 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:26 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:26 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:26 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:32 [INFO] -- Poll: TimesUp 40474 0
220408-00:02:32 [INFO] -- PollAck: BarcodeReaderDriver is up!
220408-00:02:32 [INFO] -- PollAck: LockerDriver is up!
220408-00:02:32 [INFO] -- PollAck: TouchDisplayHandler is up!
220408-00:02:32 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220408-00:02:32 [INFO] -- PollAck: SLSvrHandler is up!
220408-00:02:38 [INFO] -- Poll: TimesUp 23053 0
220408-00:02:38 [INFO] -- PollAck: TouchDisplayHandler is up!
